Tracking Data,Original Data,Survey Data,Generated Data
hpfad,hbrutto,cdesign,hgen
hpfadl,biol,csamp,pequiv
pbr_exit,hl,,pkal
ppfad,jugendl,,
ppfadl,kidl,,
,pbrutto,,
,pl,,
,pl2,,
