Topics,Module,Replication,Number of variables,Variables
leisure time [ltm],Leisure activities (short),"1984-1986, 1988, 1992, 1994,1996, 1997, 1999,  2001, 2005, 2007, 2009, 2011, 2015, 2017",9,`pli0090 <https://paneldata.org/soep-long/data/pl/pli0090>`_ –  `pli0098 <https://paneldata.org/soep-long/data/pl/pli0098>`_
leisure time [ltm],Leisure activities (long),"1990, 1995, 1998, 2003, 2008, 2013",19,`pli0079 <https://paneldata.org/soep-long/data/pl/pli0079>`_ –  `pli0092 <https://paneldata.org/soep-long/data/pl/pli0092>`_ & `pli0096 <https://paneldata.org/soep-long/data/pl/pli0096>`_ – `pli0098 <https://paneldata.org/soep-long/data/pl/pli0098>`_ & `pli0165 <https://paneldata.org/soep-long/data/pl/pli0096>`_ & `pli0168 <https://paneldata.org/soep-long/data/pl/pli0168>`_ 
leisure time [ltm],computer usage,"1997,1999, 2000, 2001",8,`pli0066 <https://paneldata.org/soep-long/data/pl/pli0066>`_ –  `pli0073 <https://paneldata.org/soep-long/data/pl/pli0073>`_
?,traffic behavior,"1993,1998, 2003",77,`pli0101 <https://paneldata.org/soep-long/data/pl/pli0101>`_  –  `pli0160 <https://paneldata.org/soep-long/data/pl/pli0160>`_ &   `plb0016 <https://paneldata.org/soep-long/data/pl/plb0016>`_ &   `plb0145 <https://paneldata.org/soep-long/data/pl/plb0145>`_ &  `plb0147 <https://paneldata.org/soep-long/data/pl/plb0147>`_ –  `pli0156 <https://paneldata.org/soep-long/data/pl/pli0156>`_ &  `plb0158 <https://paneldata.org/soep-long/data/pl/plb0158>`_ &  `plb0159 <https://paneldata.org/soep-long/data/pl/plb0159>`_ &  `plb0175 <https://paneldata.org/soep-long/data/pl/plb0175>`_ &  `plb0591 <https://paneldata.org/soep-long/data/pl/plb0591>`_ 
